Circuit,Strategy,MeanZScore,TotalPitTime,NumStops,CompoundsCardinal,CompoundsNumeric
Catalunya,[31],0.029871653765439987,24.58055344378243,1,"['MEDIUM', 'HARD']","[2, 1]"
Catalunya,[32],0.030764084309339523,28.39643737512965,1,"['MEDIUM', 'HARD']","[2, 1]"
Catalunya,[33],0.03150274604558945,23.99808370735056,1,"['MEDIUM', 'HARD']","[2, 1]"
Catalunya,[34],0.032211001962423325,22.73394484631001,1,"['MEDIUM', 'HARD']","[2, 1]"
Catalunya,[35],0.03297346830368042,24.67142150074568,1,"['MEDIUM', 'HARD']","[2, 1]"
Catalunya,[31],0.03695732355117798,24.941327365210654,1,"['HARD', 'MEDIUM']","[1, 2]"
Catalunya,[32],0.038634318858385086,22.734541694336514,1,"['HARD', 'MEDIUM']","[1, 2]"
Catalunya,[33],0.040129125118255615,23.441759406363218,1,"['HARD', 'MEDIUM']","[1, 2]"
Catalunya,[34],0.04166851192712784,23.66644075372146,1,"['HARD', 'MEDIUM']","[1, 2]"
Catalunya,[35],0.04326207935810089,23.698201460845926,1,"['HARD', 'MEDIUM']","[1, 2]"
Spa-Francorchamps,[22],-0.048435285687446594,24.666869727289956,1,"['HARD', 'SOFT']","[1, 4]"
Spa-Francorchamps,[22],-0.04842768609523773,28.53852754356351,1,"['HARD', 'MEDIUM']","[1, 3]"
Spa-Francorchamps,[23],-0.04825678840279579,19.74402291119439,1,"['HARD', 'SOFT']","[1, 4]"
Spa-Francorchamps,[23],-0.04824128374457359,20.038843004970428,1,"['HARD', 'MEDIUM']","[1, 3]"
Spa-Francorchamps,[21],-0.047346554696559906,20.67239980749079,1,"['HARD', 'SOFT']","[1, 4]"
Spa-Francorchamps,[20],-0.04693164676427841,24.204991407351052,1,"['HARD', 'SOFT']","[1, 4]"
Spa-Francorchamps,[21],-0.046800609678030014,27.78542712571318,1,"['HARD', 'MEDIUM']","[1, 3]"
Spa-Francorchamps,[20],-0.046310607343912125,21.48499853059677,1,"['HARD', 'MEDIUM']","[1, 3]"
