LapNumber,Stint,StintLap,TyreLife,CompoundNumeric,PredictedZScore,IsPitStop,PitStopTime,CompoundCardinal,Circuit
1,1,1,1,2,2.8440310955047607,False,0.0,MEDIUM,Catalunya
2,1,2,2,2,1.8556345701217651,False,0.0,MEDIUM,Catalunya
3,1,3,3,2,0.6683878302574158,False,0.0,MEDIUM,Catalunya
4,1,4,4,2,0.8209717869758606,False,0.0,MEDIUM,Catalunya
5,1,5,5,2,-0.06645553559064865,False,0.0,MEDIUM,Catalunya
6,1,6,6,2,-0.05033651739358902,False,0.0,MEDIUM,Catalunya
7,1,7,7,2,-0.03014334663748741,False,0.0,MEDIUM,Catalunya
8,1,8,8,2,-0.03023960068821907,False,0.0,MEDIUM,Catalunya
9,1,9,9,2,-0.009079021401703358,False,0.0,MEDIUM,Catalunya
10,1,10,10,2,0.02520900033414364,False,0.0,MEDIUM,Catalunya
11,1,11,11,2,0.0347951278090477,False,0.0,MEDIUM,Catalunya
12,1,12,12,2,0.04022977501153946,False,0.0,MEDIUM,Catalunya
13,1,13,13,2,0.03686116635799408,False,0.0,MEDIUM,Catalunya
14,1,14,14,2,0.03282219171524048,False,0.0,MEDIUM,Catalunya
15,1,15,15,2,0.018174638971686363,False,0.0,MEDIUM,Catalunya
16,1,16,16,2,0.026847895234823227,False,0.0,MEDIUM,Catalunya
17,1,17,17,2,0.028421837836503983,False,0.0,MEDIUM,Catalunya
18,1,18,18,2,0.022199507802724838,False,0.0,MEDIUM,Catalunya
19,1,19,19,2,-0.013922950252890587,False,0.0,MEDIUM,Catalunya
20,1,20,20,2,-0.010876563377678394,False,0.0,MEDIUM,Catalunya
21,1,21,21,2,-0.046530142426490784,False,0.0,MEDIUM,Catalunya
22,1,22,22,2,-0.04005221277475357,False,0.0,MEDIUM,Catalunya
23,1,23,23,2,-0.045422978699207306,False,0.0,MEDIUM,Catalunya
24,1,24,24,2,-0.04210907965898514,False,0.0,MEDIUM,Catalunya
25,1,25,25,2,-0.038670510053634644,False,0.0,MEDIUM,Catalunya
26,1,26,26,2,0.0015925895422697067,False,0.0,MEDIUM,Catalunya
27,1,27,27,2,-0.0010034029837697744,False,0.0,MEDIUM,Catalunya
28,1,28,28,2,-0.005725530907511711,False,0.0,MEDIUM,Catalunya
29,1,29,29,2,-0.024880968034267426,False,0.0,MEDIUM,Catalunya
30,1,30,30,2,-0.039604075253009796,False,0.0,MEDIUM,Catalunya
31,2,1,1,1,4.542438983917236,True,23.276044469447537,HARD,Catalunya
32,2,2,2,1,1.8405499458312988,False,0.0,HARD,Catalunya
33,2,3,3,1,0.6257002949714661,False,0.0,HARD,Catalunya
34,2,4,4,1,0.6983581185340881,False,0.0,HARD,Catalunya
35,2,5,5,1,-0.3378077745437622,False,0.0,HARD,Catalunya
36,2,6,6,1,-0.34008148312568665,False,0.0,HARD,Catalunya
