Circuit,Strategy,MeanZScore
Catalunya,[31],0.09493263810873032
Catalunya,[32],0.09592097997665405
Catalunya,[33],0.09654728323221207
Catalunya,[34],0.09673324227333069
Catalunya,[35],0.09692110121250153
Catalunya,"[8, 31]",0.2339821755886078
Catalunya,"[8, 32]",0.2344164401292801
Catalunya,"[8, 33]",0.234451025724411
Catalunya,"[8, 34]",0.23458021879196167
Catalunya,"[8, 35]",0.2347162663936615
Catalunya,"[8, 36]",0.23476268351078033
Catalunya,"[8, 37]",0.23538820445537567
Catalunya,"[8, 38]",0.23584094643592834
Catalunya,"[8, 39]",0.2364329695701599
Catalunya,"[8, 40]",0.2373131364583969
Catalunya,"[8, 41]",0.23815134167671204
Catalunya,"[8, 42]",0.2389620989561081
Catalunya,"[8, 43]",0.24021734297275543
Catalunya,"[9, 31]",0.2425055354833603
Catalunya,"[9, 34]",0.24256859719753265
Catalunya,"[9, 35]",0.24271266162395477
Catalunya,"[9, 36]",0.24274247884750366
Catalunya,"[9, 32]",0.24293982982635498
Catalunya,"[9, 33]",0.2429744303226471
Catalunya,"[9, 37]",0.24335750937461853
Catalunya,"[9, 38]",0.2438102513551712
Catalunya,"[9, 39]",0.24440230429172516
Catalunya,"[9, 40]",0.2452448010444641
Catalunya,"[28, 46]",0.24548859894275665
Catalunya,"[9, 41]",0.24608297646045685
Catalunya,"[25, 46]",0.2461741417646408
Catalunya,"[27, 46]",0.24630066752433777
Catalunya,"[24, 46]",0.24633853137493134
Catalunya,"[23, 41]",0.24635812640190125
Catalunya,"[23, 40]",0.2463729977607727
Catalunya,"[23, 39]",0.24645112454891205
Catalunya,"[24, 42]",0.24646149575710297
Catalunya,"[24, 41]",0.24648386240005493
Catalunya,"[26, 46]",0.2464888095855713
Catalunya,"[23, 46]",0.2464926689863205
Catalunya,"[23, 42]",0.2465077042579651
Catalunya,"[24, 40]",0.24655209481716156
Catalunya,"[25, 42]",0.24657821655273438
Catalunya,"[25, 41]",0.24665392935276031
Catalunya,"[24, 39]",0.24668416380882263
Catalunya,"[28, 45]",0.24675054848194122
